+-------------------+------------+------------+
| Número de Cidadão |   Aposta   |    Data    |
+-------------------+------------+------------+
|     63610750      | 7349999    | 23-4-2016  |
|     12546688      | 16733840   | 29-3-2014  |
|     18950537      | 50573368   | 22-3-2016  |
|     49122123      | 25788445   | 25-4-2012  |
|     52561534      | 9085710    | 7-9-2012   |
|     13051526      | 2257889    | 21-10-2011 |
|     51484725      | 43896509   | 3-1-2012   |
|     89466493      | 40401289   | 17-2-2015  |
|     61446184      | 49877978   | 2-4-2011   |
|     15522741      | 47935741   | 2-7-2011   |
|     35020213      | 40070507   | 26-12-2013 |
|     98375833      | 31741212   | 30-5-2014  |
|     41491558      | 3982088    | 5-4-2014   |
|     74745165      | 31867865   | 22-7-2015  |
|     50674931      | 46007780   | 18-5-2015  |
|     57761256      | 35744071   | 24-1-2014  |
|     74409170      | 40569392   | 9-7-2016   |
|     38817298      | 43301471   | 24-10-2014 |
|     12394320      | 28473205   | 20-5-2012  |
|     12649475      | 25608567   | 5-8-2015   |
|     77043963      | 6621948    | 13-7-2015  |
|     10111989      | 24961065   | 28-3-2012  |
|     90729707      | 48640142   | 3-8-2012   |
|     29409946      | 46933203   | 22-6-2015  |
|     52375676      | 19042607   | 6-3-2014   |
|     12649475      | 28119701   | 24-8-2016  |
|     78605214      | 48210056   | 5-11-2015  |
|     22030731      | 18350577   | 27-9-2013  |
|     73674901      | 48875950   | 15-11-2012 |
|     24942519      | 17556279   | 15-5-2011  |
|     17709194      | 21688126   | 27-3-2014  |
|     53759344      | 21023256   | 14-11-2011 |
|     89971110      | 42190117   | 22-3-2013  |
|     15957165      | 17070918   | 5-11-2013  |
|     74549038      | 47283929   | 11-6-2014  |
|     84781189      | 37801395   | 2-9-2014   |
|     82515913      | 48912869   | 10-7-2013  |
|     13949021      | 13422759   | 27-7-2015  |
|     29015048      | 45835647   | 7-7-2013   |
|     86075719      | 19209741   | 14-10-2014 |
|     11384786      | 42408580   | 20-6-2011  |
|     57079466      | 37864999   | 11-10-2011 |
|     64268066      | 45669660   | 29-2-2012  |
|     85221400      | 41153561   | 1-4-2015   |
|     38695073      | 31862339   | 22-11-2013 |
|     95745691      | 10451057   | 14-6-2014  |
|     98404554      | 5532380    | 6-4-2012   |
|     24015174      | 36949566   | 31-5-2012  |
|     13983111      | 35000833   | 15-11-2014 |
+-------------------+------------+------------+
