+-------------------+------------------------------------------+--------------------------------+-----------------------------------------------------------------------------------------+
| N˙mero de Cidad„o |      Nome(s) PrÛprio(s) e Apelido(s)     |     Concelho de ResidÍncia     |                                       Profiss„o                                         |
+-------------------+------------------------------------------+--------------------------------+-----------------------------------------------------------------------------------------+
|     71543657      | Jessica Villalobos RodrÌguez             | Oliveira De AzemÈis            | Canteiros e Polidores de Pedra                                                         |
|     32475655      | Vital Caetano Vargas Linares             | Vale De Cambra                 | Operadores de M·quinas para ConfecÁ„o                                                  |
|     76914694      | AngÇlica Bianca Pimentel Arag„o          | Vale De Cambra                 | Salsicheiro                                                                            |
|     41076078      | S¢nia J˙dice Seixas                      | Vimioso                        | Prospector de Vendas                                                                   |
|     55127751      | Jaime Em°lio Laranjeira Fragoso          | ValenÁa                        | Bordador Manual ñ Artesanato                                                           |
|     37488088      | Dinis CafÈ                               | Olh„o                          | Outros EcÛnomos, Governantas e Trabalhadores Similares                                 |
|     30647504      | ClÇber T·vora Silvestre                  | Viana Do Alentejo              | Delegado de InformaÁ„o MÈdica                                                          |
|     76023198      | L£cia Felicia Caeira                     | Santa Cruz Das Flores          | Limpadores de Fachadas e Limpa-ChaminÈs                                                |
|     35390764      | Mar°lia GÛis                             | Armamar                        | Serrador Mec‚nico                                                                      |
|     92830290      | Delfino Moniz                            | Ribeira Grande                 | CartÛgrafo                                                                             |
|     33298069      | Vanusa Ana Uchoa Areosa                  | Peniche                        | Gravadores e Fotogravadores de Artes Gr·ficas                                          |
|     78796037      | Gilberto Motta Ribas                     | Borba                          | Inspectores de Obras, de SeguranÁa e do Trabalho, da Sa˙de e do Controlo de Qualidade  |
|     85200371      | Sabino Talh„o Severiano                  | Praia Da VitÛria               | Canteiro de Acabamentos ñ ConstruÁ„o Civil                                             |
|     48540057      | Gil Caio Martinho Malho                  | Soure                          | Ajudante de Operador de Silos                                                          |
|     27040183      | Isolina Pais Bai„o                       | Loures                         | IntÈrprete de LÌngua Gestual                                                           |
|     15841168      | Elza Sa£l Vides Igrejas                  | Aveiro                         | Operador de M·quina de Chanfrar                                                        |
|     73315558      | Salvador Guedelha                        | Esposende                      | Outros Estafetas, Distribuidores, Bagageiros e Trabalhadores Similares                 |
|     91459921      | Hugo Leonel Machado                      | Viseu                          | Operador de M·quina de Moldar                                                          |
|     23598331      | Marina Cloe Pais                         | Castanheira De PÍra            | Oficial Piloto                                                                         |
|     20068438      | Loide Michael Hernandes                  | Sobral De Monte AgraÁo         | Marcador Oficinal                                                                      |
|     39539892      | Ana Delfina Moita                        | ¡gueda                         | Tecel„o de Malhas                                                                      |
|     37794227      | Gilberto Cassandra Hernandes             | Boticas                        | Carpinteiro Naval                                                                      |
|     70060080      | AdriÑo Guerreiro Prudente                | NazarÈ                         | Caracterizador                                                                         |
|     42626700      | Selma Marta Reis Regueira                | Vila Nova De Cerveira          | Pagador ñ Casinos                                                                      |
|     45610445      | Manuel Sabino CafÈ                       | Mealhada                       | Carpinteiro de Tosco                                                                   |
|     47374998      | Estela Quesado                           | Tomar                          | Professor de EducaÁ„o Especial ñ ¡rea da DeficiÍncia Auditiva                          |
|     71177346      | Cinara Henriqueta MendonÁa Silveira      | S„o Jo„o Da Madeira            | Escritores, Jornalistas e Similares                                                    |
|     81468326      | Wilson SantarÈm                          | Armamar                        | Trabalhadores da Montagem                                                              |
|     41433106      | Branca Flora Rebimbas                    | Goleg„                         | Desidratador ñ GÈneros Alimentares                                                     |
|     38352152      | LibÉnio CortÍs                           | Albufeira                      | Trabalhadores Florestais                                                               |
|     37979221      | Salvador Sardinha                        | Terras De Bouro                | Agentes de Seguros                                                                     |
|     72614639      | Florbela Bicudo                          | Coruche                        | Trabalhadores N„o Qualificados dos Transportes                                         |
|     63926009      | Cinira Ermengarda Lameirinhas Castanheira | Penedono                       | Tesoureiro                                                                             |
|     86048823      | V†gner PÛvoas                            | Alvito                         | Outros Enfermeiros                                                                     |
|     25722156      | Gonáalo Loreta Mora                      | Carrazeda De Ansi„es           | Escolhedor                                                                             |
|     42603698      | Fabr°cio Moita Torreiro                  | Seia                           | Operador de Silos                                                                      |
|     16265185      | UbiratÑ Loreta Cardim Dinis              | Santana                        | Codificadores, Revisores de Provas e Similares                                         |
|     76674829      | Madalena Hollanda Dias                   | Paredes                        | Dirigente de OrganizaÁ„o Humanit·ria e Outras                                          |
|     48421804      | Br°gida Erc°lia Caneira Furquim          | Montalegre                     | Operador de M·quina de Cochar Corda                                                    |
|     21619176      | C†tia Altino Quinteiro                   | Moita                          | Outros Pedreiros e Calceteiros                                                         |
|     67153188      | Silvana Areosa Bulhosa                   | Alcanena                       | Operador de Prensa (Prensador)                                                         |
|     99866347      | Jocosa Pastana                           | Vale De Cambra                 | Escatelador ñ Trabalho em SÈrie dos Metais                                             |
|     21927358      | Godofredo Areosa Fonseca                 | Oliveira De Frades             | Cozedor (Caldeireiro) CortiÁa                                                          |
|     64063824      | Tadeu Mateus Macedo                      | Oleiros                        | Operador de M·quina de Tratamento do Linho                                             |
|     64082642      | Ros†rio Frade                            | Anadia                         | Laminador de Chapa de Prata                                                            |
|     38469859      | N£ria Djamila Malheiros                  | Corvo                          | Lavador de Vidros                                                                      |
|     38503403      | Aldara Carina Coitinho NÛbrega           | Machico                        | Arquitectos, Engenheiros e Especialistas Similares                                     |
|     51626374      | Ferdinanda Reginaldo Prada               | Benavente                      | Tirador (Pregador) de Teias                                                            |
|     53629244      | Laurentina Regalado                      | Lajes Das Flores               | Trabalhadores N„o Qualificados da Ind˙stria Transformadora                             |
